Year,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_AS6,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z
0.0,0.0344287949921752,0.001564945226917,0.0156494522691705,-0.5714285714285715,-1.0,-0.3170731707317074,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.2380952380952381,0.0,0.0487804878048778,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.2380952380952381,0.0,-0.121951219512195,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.2380952380952381,0.0,-0.146341463414634,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.2380952380952381,0.0,-0.3414634146341463,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.2380952380952381,0.0,-0.146341463414634,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.2380952380952381,0.0,-0.3414634146341463,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.0952380952380953,0.0,-0.121951219512195,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.0952380952380953,0.0,-0.3414634146341463,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.0952380952380953,0.0,-0.121951219512195,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.0952380952380953,0.0,-0.3414634146341463,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.0952380952380953,0.0,0.0487804878048778,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,-0.0952380952380953,0.0,-0.3414634146341463,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.0203442879499217,-0.0952380952380953,0.0,0.0487804878048778,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.0203442879499217,-0.0952380952380953,0.0,0.0243902439024389,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,0.666666666666667,1.0,0.0731707317073167,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0031298904538341,0.1643192488262911,0.666666666666667,1.0,0.4878048780487798,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.0203442879499217,0.666666666666667,1.0,0.268292682926829,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.1205007824726134,0.666666666666667,1.0,0.2439024390243901,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.0438184663536776,0.666666666666667,1.0,0.2439024390243901,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.0438184663536776,1.1428571428571432,3.0,1.146341463414634,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.0156494522691705,0.0952380952380953,0.0,-0.121951219512195,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.0172143974960876,0.0952380952380953,0.0,-0.121951219512195,False,False,False,False,False,True,False,False,False,False,True
